baseline,brier,brier_ci_lower,brier_ci_upper,log_loss,auroc,calibration_status,calibration_intercept,calibration_slope,accuracy,tp,fp,tn,fn
B0_no_skill,0.232160107935,0.211565396566,0.25272778619,0.658310797977,0.5,INFEASIBLE_CONSTANT_PREDICTION,,,0.6488372093023256,0,0,279,151
B1_magnitude_only_logit,0.198213701311,0.176575950797,0.219231422693,0.583331269709,0.718958437181,OK,0.324323667235,1.020326223589,0.7046511627906977,37,13,266,114
B2_source_only_logit,0.180661534768,0.160141060441,0.201512231929,0.536390573935,0.785753281588,OK,0.643751664916,1.294234260105,0.727906976744186,48,14,265,103
B4_random_forest,0.186681056634,0.167913814906,0.205781725915,0.55271287874,0.777219967243,OK,0.738321528867,1.479011366878,0.727906976744186,44,10,269,107
B5_xgboost,0.181438417478,0.161096567542,0.20222271116,0.540989764096,0.782786204277,OK,0.421445059154,1.068106011891,0.7418604651162791,56,16,263,95
