split_scheme,brier,auroc,log_loss,n_folds_populated
random_event,0.204833647433,0.695234059242,0.964044860549,5
event_grouped,0.200874490602,0.705795646126,0.922291670941,5
sequence_grouped,0.198955440399,0.707630927485,0.970903842537,5
