event_id,origin_time,origin_year,magnitude,magnitude_type,depth_km,latitude,longitude,region_code,num_responses,max_cdi,severe_label,sequence_id,role
us200027ru,2015-04-20T12:00:00Z,2015,6.1,mww,29.0,24.0471,122.4532,G+020+0120,19,3.9,0,SEQ_us10001ps8,train
us200028pe,2015-04-24T01:34:55Z,2015,5.4,mww,10.0,40.4556,-127.1509,G+040-0130,27,3.9,0,SEQ_us200028pe,train
us200028qc,2015-04-24T03:36:42Z,2015,6.1,mww,48.0,-42.0602,173.0066,G-050+0170,19,6.8,1,SEQ_us200028qc,train
us200028ue,2015-04-24T13:56:15Z,2015,6.2,mww,8.0,51.6148,-130.7714,G+050-0140,33,5.8,0,SEQ_us200028ue,train
us20002910,2015-04-25T00:37:42Z,2015,5.1,mb,140.2,13.8503,144.8365,G+010+0140,21,4.1,0,SEQ_us20002910,development
us20002926,2015-04-25T06:11:25Z,2015,7.8,mww,8.22,28.2305,84.7314,G+020+0080,1134,8.2,1,SEQ_us20002926,train
us2000292y,2015-04-25T06:45:21Z,2015,6.6,mww,10.0,28.2244,84.8216,G+020+0080,82,7.7,1,SEQ_us20002926,train
us2000298l,2015-04-25T20:01:36Z,2015,5.1,mwr,22.77,23.9436,122.5368,G+020+0120,14,3.3,0,SEQ_us10001ps8,train
us2000299v,2015-04-25T23:16:15Z,2015,5.1,mww,13.61,27.7993,84.8715,G+020+0080,10,5.8,0,SEQ_us20002926,train
us200029bt,2015-04-26T07:09:10Z,2015,6.7,mww,22.91,27.7711,86.0173,G+020+0080,496,6.6,1,SEQ_us20002926,train
us200029ea,2015-04-26T16:26:06Z,2015,5.0,mwb,14.0,27.8297,85.865,G+020+0080,67,5.3,0,SEQ_us20002926,train
us200029k7,2015-04-27T12:35:53Z,2015,5.1,mb,31.71,26.8644,88.055,G+020+0080,192,6.5,1,SEQ_us200029k7,development
us200029t7,2015-04-28T11:19:50Z,2015,5.4,mwb,89.0,-2.0856,-79.6231,G-010-0080,57,4.9,0,SEQ_us200029t7,train
us200029ys,2015-04-28T18:56:53Z,2015,5.5,mww,111.0,17.1089,-95.0355,G+010-0100,39,5.0,0,SEQ_us200029ys,train
us20002axt,2015-05-03T04:02:52Z,2015,5.0,mb,45.35,37.5588,141.453,G+030+0140,17,3.7,0,SEQ_us20002axt,train
us20002ejl,2015-05-12T07:05:19Z,2015,7.3,mww,15.0,27.8087,86.0655,G+020+0080,733,7.7,1,SEQ_us20002926,train
us20002ek0,2015-05-12T07:17:20Z,2015,5.5,mb,13.01,27.7141,86.2177,G+020+0080,11,2.7,0,SEQ_us20002926,train
us20002ek5,2015-05-12T07:36:54Z,2015,6.3,mww,15.0,27.625,86.1617,G+020+0080,61,6.6,1,SEQ_us20002926,train
us20002ekr,2015-05-12T08:21:10Z,2015,5.2,mb,15.0,27.7298,86.1316,G+020+0080,17,5.7,0,SEQ_us20002926,train
us20002et4,2015-05-12T21:12:58Z,2015,6.8,mww,35.0,38.9056,142.0317,G+030+0140,151,7.9,1,SEQ_us20002et4,development
us20002etn,2015-05-12T21:25:11Z,2015,5.2,mb,10.0,27.783,84.6384,G+020+0080,59,4.9,0,SEQ_us20002926,train
us100028tz,2015-05-13T21:38:06Z,2015,5.0,mb,8.38,27.7199,86.0503,G+020+0080,37,4.3,0,SEQ_us20002926,train
us10002964,2015-05-15T03:30:34Z,2015,5.1,mb,37.95,37.0459,141.2026,G+030+0140,24,4.6,0,SEQ_us20002axt,train
us100029rn,2015-05-16T11:34:09Z,2015,5.5,mww,7.0,27.5603,86.0734,G+020+0080,183,5.9,0,SEQ_us20002926,train
us10002aah,2015-05-18T20:05:45Z,2015,5.1,mb,86.23,14.4906,-91.8153,G+010-0100,29,4.3,0,SEQ_us10002aah,train
us10002aq2,2015-05-20T03:31:42Z,2015,5.2,mww,14.6,38.6418,70.1959,G+030+0070,12,6.4,1,SEQ_us10002aq2,development
nn00495477,2015-05-22T18:47:42Z,2015,5.3,ml,4.0,37.2925,-114.6546,G+030-0120,2266,4.6,0,SEQ_nn00495477,train
us10002bzr,2015-05-25T05:28:08Z,2015,5.1,mwr,38.74,35.995,139.6134,G+030+0130,218,6.1,1,SEQ_us10002bzr,train
ak0156uj8rk3,2015-05-29T07:00:09Z,2015,6.8,mw,72.6,56.594,-156.4301,G+050-0160,109,4.6,0,SEQ_ak0156uj8rk3,train
us20002kha,2015-05-30T06:26:05Z,2015,5.3,mww,13.0,1.22,-79.57,G+000-0080,15,5.6,0,SEQ_us20002kha,train
us20002ki3,2015-05-30T11:23:02Z,2015,7.8,mww,664.0,27.8386,140.4931,G+020+0140,360,6.0,1,SEQ_us20002ki3,train
us20002kqi,2015-05-30T20:57:22Z,2015,5.3,mb,40.33,-4.7858,103.0184,G-010+0100,40,6.1,1,SEQ_us20002kqi,development
us20002kxa,2015-06-01T06:52:41Z,2015,5.8,mww,10.0,44.4584,-129.8114,G+040-0130,22,3.4,0,SEQ_us20002kxa,development
us20002l3n,2015-06-01T20:11:30Z,2015,5.9,mww,10.0,44.4971,-129.9582,G+040-0130,26,3.1,0,SEQ_us20002kxa,development
us20002m5s,2015-06-04T23:15:43Z,2015,6.0,mww,10.0,5.9867,116.5409,G+000+0110,111,6.6,1,SEQ_us20002m5s,train
us20002mvq,2015-06-08T06:01:08Z,2015,6.1,mww,42.0,41.5615,142.0308,G+040+0140,10,4.3,0,SEQ_us20002mvq,train
us20002n56,2015-06-09T01:09:03Z,2015,5.3,mww,13.0,38.62,23.39,G+030+0020,57,6.0,1,SEQ_us20002n56,train
us20002nkt,2015-06-10T13:52:09Z,2015,6.0,mww,124.0,-22.4,-68.4323,G-030-0070,16,6.1,1,SEQ_us20002nkt,train
us20002pak,2015-06-12T11:07:08Z,2015,6.0,mww,48.0,-15.6758,-173.0098,G-020-0180,12,3.8,0,SEQ_us20002pak,train
us20002pfr,2015-06-12T18:29:15Z,2015,5.3,mb,7.25,6.2053,116.6814,G+000+0110,81,5.2,0,SEQ_us20002m5s,train
us10002ke8,2015-06-20T02:10:07Z,2015,6.4,mww,11.0,-36.3601,-73.812,G-040-0080,54,4.8,0,SEQ_us10002ke8,development
ak01581sc69w,2015-06-24T22:32:21Z,2015,5.8,mw,114.2,61.6644,-151.9621,G+060-0160,857,5.0,0,SEQ_ak01581sc69w,train
us10002m3f,2015-06-27T15:34:03Z,2015,5.5,mwb,22.0,29.0402,34.6672,G+020+0030,88,4.0,0,SEQ_us10002m3f,development
us10002m67,2015-06-28T01:05:28Z,2015,5.1,mwb,26.0,26.6384,90.41,G+020+0090,74,6.6,1,SEQ_us10002m67,train
hv60968241,2015-06-28T08:10:10Z,2015,5.2,ml,7.714,19.335,-155.2093333,G+010-0160,862,4.3,0,SEQ_hv60968241,train
us10002mft,2015-06-29T22:07:48Z,2015,5.5,mwb,191.0,36.6802,71.3004,G+030+0070,31,5.0,0,SEQ_us10002mft,train
us10002mzg,2015-07-02T07:18:24Z,2015,5.3,mb,10.0,34.4513,73.7102,G+030+0070,10,5.4,0,SEQ_us10002mzg,development
us10002n6s,2015-07-03T06:43:21Z,2015,6.1,mww,32.0,10.1691,125.8907,G+010+0120,40,7.0,1,SEQ_us10002n6s,train
us10002nih,2015-07-05T12:56:47Z,2015,5.2,mww,13.14,17.972,120.6844,G+010+0120,11,7.2,1,SEQ_us10002nih,train
us20002wd2,2015-07-09T18:32:51Z,2015,5.5,mww,81.0,40.3631,141.4646,G+040+0140,15,5.6,0,SEQ_us20002wd2,train
us20002wz9,2015-07-12T17:52:06Z,2015,5.5,mww,53.0,33.0229,131.7493,G+030+0130,40,5.4,0,SEQ_us20002wz9,train
us20002xw5,2015-07-16T11:01:45Z,2015,5.7,mww,7.07,13.8769,-58.4736,G+010-0060,25,3.1,0,SEQ_us20002xw5,train
us20002xx1,2015-07-16T15:16:33Z,2015,6.5,mww,20.0,13.8672,-58.5479,G+010-0060,94,3.8,0,SEQ_us20002xw5,train
us20002zz3,2015-07-24T20:59:54Z,2015,5.1,mwr,17.03,33.8564,73.1926,G+030+0070,75,7.0,1,SEQ_us10002mzg,development
us20002zzg,2015-07-24T21:44:38Z,2015,5.5,mwb,48.0,-8.2477,108.9163,G-010+0100,33,4.3,0,SEQ_us20002zzg,train
us20003001,2015-07-24T23:14:39Z,2015,5.3,mww,34.03,-20.2963,-70.2472,G-030-0080,13,6.2,1,SEQ_us20003001,development
ak0159h0d1de,2015-07-25T19:57:43Z,2015,5.1,mw,125.6,61.9493,-152.0518,G+060-0160,21,3.8,0,SEQ_ak0159h0d1de,development
